Class,cg-na,cg-npm,Pattern,count
io.questdb.cairo.SymbolMapReader,0,4,Factory Method,1
io.questdb.cairo.EmptySymbolMapReader,4,40,Decorator;Factory Method;Singleton,4
io.questdb.cairo.SymbolMapReaderImpl,147,124,Decorator;Factory Method;State;(Object)Adapter,10
io.questdb.cairo.sql.StaticSymbolTable,0,2,Factory Method,1
io.questdb.cairo.wal.MetadataService,0,16,Factory Method,1
io.questdb.cairo.TableWriter,3525,2360,Factory Method;State;(Object)Adapter,26
io.questdb.cairo.wal.seq.MetadataServiceStub,0,12,Factory Method,1
io.questdb.cairo.UpdateOperator,0,1,Factory Method,1
io.questdb.griffin.model.RuntimeIntrinsicIntervalModel,0,3,Factory Method;Bridge,2
io.questdb.griffin.model.RuntimeIntervalModel,16,13,Factory Method;State;(Object)Adapter,4
io.questdb.griffin.engine.table.AbstractDeferredValueRecordCursorFactory,30,6,Factory Method;Template Method;Bridge;(Object)Adapter,6
io.questdb.griffin.engine.table.LatestByValueDeferredIndexedFilteredRecordCursorFactory,0,4,Factory Method;Template Method,2
io.questdb.griffin.engine.table.LatestByValueDeferredFilteredRecordCursorFactory,0,4,Factory Method;Template Method,2
io.questdb.griffin.engine.functions.cast.AbstractCastToSymbolFunction,20,31,Decorator;Factory Method;Template Method,3
io.questdb.griffin.engine.functions.cast.CastCharToSymbolFunctionFactory,0,10,Decorator;Factory Method;Template Method,5
io.questdb.griffin.engine.functions.cast.CastShortToSymbolFunctionFactory,0,10,Decorator;Factory Method;Template Method,5
io.questdb.griffin.engine.functions.cast.CastByteToSymbolFunctionFactory,0,10,Decorator;Factory Method;Template Method,5
io.questdb.griffin.engine.functions.cast.CastFloatToSymbolFunctionFactory,0,10,Decorator;Factory Method;Template Method,5
io.questdb.griffin.engine.functions.cast.CastIntToSymbolFunctionFactory,0,10,Decorator;Factory Method;Template Method,5
io.questdb.griffin.FunctionFactory,0,27,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.regex.AbstractLikeStrFunctionFactory,5,11,Decorator;Factory Method;State;Template Method,5
io.questdb.griffin.engine.functions.cast.CastFloatToIntFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.catalogue.PgTypeFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastStrToStrArrayFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastLongToSymbolFunctionFactory,10,24,Decorator;Factory Method;State,5
io.questdb.griffin.engine.functions.groupby.LastTimestampGroupByFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastDoubleToTimestampFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastCharToLong256FunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.catalogue.SimulateCrashFunctionFactory,15,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.groupby.LastShortGroupByFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastIntToFloatFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.groupby.SumFloatGroupByFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastShortToDoubleFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.eq.EqLongFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastDoubleToFloatFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.str.SplitPartFunctionFactory,13,21,Decorator;Factory Method;Template Method;Bridge,5
io.questdb.griffin.engine.functions.date.TimestampFloorFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastDateToTimestampFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.eq.EqStrUuidFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastSymbolToDoubleFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.cast.CastShortToFloatFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.date.TimestampSequenceFunctionFactory,6,18,Decorator;Factory Method;State,5
io.questdb.griffin.engine.functions.cast.CastSymbolToStrFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.math.BitwiseXorLongFunctionFactory,2,9,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.catalogue.CurrentSchemasFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.math.NegShortFunctionFactory,1,8,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.date.TimestampShuffleFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.rnd.RndStrFunctionFactory,3,9,Decorator;Factory Method;(Object)Adapter,4
io.questdb.griffin.engine.functions.cast.CastDateToIntFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.eq.EqUuidStrFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastShortToDateFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.cast.CastDoubleToDateFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.date.SysdateFunctionFactory,5,10,Decorator;Factory Method;State;(Object)Adapter,5
io.questdb.griffin.engine.functions.date.TimestampCeilFunctionFactory,4,18,Decorator;Factory Method;Template Method;Bridge,5
io.questdb.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.math.FloorFloatFunctionFactory,1,8,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.rnd.RndStringRndListFunctionFactory,8,12,Decorator;Factory Method;(Object)Adapter,5
io.questdb.griffin.engine.functions.cast.CastShortToByteFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.cast.CastCharToStrFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.rnd.RndDateCCCFunctionFactory,4,9,Decorator;Factory Method;(Object)Adapter,4
io.questdb.griffin.engine.functions.groupby.SumLongGroupByFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastByteToStrFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.catalogue.CurrentDatabaseFunctionFactory,3,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastLongToShortFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.bool.AndFunctionFactory,2,9,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.math.SubDoubleFunctionFactory,2,9,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.cast.CastShortToIntFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.math.MulIntFunctionFactory,2,10,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.str.LengthSymbolFunctionFactory,1,8,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.cast.CastSymbolToByteFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.cast.CastCharToDateFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.date.ToUTCTimestampFunctionFactory,2,9,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.cast.CastCharToTimestampFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.date.MinuteOfHourFunctionFactory,1,8,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.math.PIDoubleFunctionFactory,3,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.catalogue.SessionUserFunctionFactory,3,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.math.RemDoubleFunctionFactory,2,9,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.date.ToTimestampVCFunctionFactory,9,10,Decorator;Factory Method;State,5
io.questdb.griffin.engine.functions.cast.CastIntToLong256FunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastTimestampToShortFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.regex.MatchStrFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastIntToTimestampFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastIntToByteFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.math.AbsDoubleFunctionFactory,1,8,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.cast.CastCharToFloatFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.test.TestSumTDoubleGroupByFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastStrToRegProcedureFunctionFactory,3,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.math.CotDoubleFunctionFactory,4,8,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.catalogue.FormatTypeFunctionFactory,0,6,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastDateToCharFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.str.LeftFunctionFactory,8,13,Decorator;Factory Method;State,5
io.questdb.griffin.engine.functions.groupby.MaxDoubleGroupByFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.cast.CastStrToCharFunctionFactory,1,7,Decorator;Factory Method;State,4
io.questdb.griffin.engine.functions.groupby.CountIntGroupByFunctionFactory,0,9,Decorator;Factory Method,3
io.questdb.griffin.engine.functions.conditional.CaseFunctionFactory,0,6,Decorator;Factory Method,3
