Class,Patterns,cg-na,cg-npm
io.questdb.griffin.engine.table.DataFrameRecordCursor,Bridge,0,52
io.questdb.griffin.engine.table.FilteredRecordCursor,State,48,137
io.questdb.griffin.engine.table.FilteredRecordCursor,(Object)Adapter,48,137
io.questdb.griffin.engine.table.FilteredRecordCursor,Factory Method,48,137
io.questdb.griffin.engine.table.FilteredRecordCursor,Decorator,48,137
io.questdb.griffin.engine.table.StringLongTuplesRecordCursor,Factory Method,56,112
io.questdb.griffin.engine.table.StringLongTuplesRecordCursor,Decorator,56,112
io.questdb.cairo.TableReaderRecordCursor,(Object)Adapter,160,171
io.questdb.cairo.TableReaderRecordCursor,Factory Method,160,171
io.questdb.cairo.TableReaderRecordCursor,Decorator,160,171
io.questdb.griffin.engine.union.AbstractSetRecordCursor,Factory Method,12,4
io.questdb.griffin.engine.union.AbstractSetRecordCursor,Decorator,12,4
io.questdb.griffin.engine.LimitRecordCursorFactory,State,178,158
io.questdb.griffin.engine.LimitRecordCursorFactory,(Object)Adapter,178,158
io.questdb.griffin.engine.LimitRecordCursorFactory,Factory Method,178,158
io.questdb.griffin.engine.LimitRecordCursorFactory,Decorator,178,158
io.questdb.griffin.engine.table.TableListRecordCursorFactory,(Object)Adapter,75,104
io.questdb.griffin.engine.table.TableListRecordCursorFactory,Factory Method,75,104
io.questdb.griffin.engine.table.TableListRecordCursorFactory,Decorator,75,104
io.questdb.griffin.engine.table.FilterOnSubQueryRecordCursorFactory,(Object)Adapter,88,199
io.questdb.griffin.engine.table.FilterOnSubQueryRecordCursorFactory,Factory Method,88,199
io.questdb.griffin.engine.table.FilterOnSubQueryRecordCursorFactory,State,88,199
io.questdb.griffin.engine.table.FilterOnSubQueryRecordCursorFactory,Decorator,88,199
io.questdb.griffin.engine.table.FilterOnSubQueryRecordCursorFactory,Template Method,88,199
io.questdb.griffin.engine.table.ReaderPoolRecordCursorFactory,Factory Method,126,112
io.questdb.griffin.engine.table.ReaderPoolRecordCursorFactory,Decorator,126,112
io.questdb.griffin.engine.table.LatestByLightRecordCursorFactory,State,159,185
io.questdb.griffin.engine.table.LatestByLightRecordCursorFactory,(Object)Adapter,159,185
io.questdb.griffin.engine.table.LatestByLightRecordCursorFactory,Factory Method,159,185
io.questdb.griffin.engine.table.LatestByLightRecordCursorFactory,Decorator,159,185
io.questdb.cairo.sql.DelegatingRecordCursor,Factory Method,0,2
io.questdb.cairo.sql.DelegatingRecordCursor,State,0,2
io.questdb.griffin.engine.table.AsyncFilteredNegativeLimitRecordCursor,State,209,184
io.questdb.griffin.engine.table.AsyncFilteredNegativeLimitRecordCursor,(Object)Adapter,209,184
io.questdb.griffin.engine.table.AsyncFilteredNegativeLimitRecordCursor,Factory Method,209,184
io.questdb.griffin.engine.table.AsyncFilteredNegativeLimitRecordCursor,Decorator,209,184
io.questdb.griffin.engine.groupby.DistinctTimeSeriesRecordCursorFactory,State,285,183
io.questdb.griffin.engine.groupby.DistinctTimeSeriesRecordCursorFactory,(Object)Adapter,285,183
io.questdb.griffin.engine.groupby.DistinctTimeSeriesRecordCursorFactory,Factory Method,285,183
io.questdb.griffin.engine.groupby.DistinctTimeSeriesRecordCursorFactory,Decorator,285,183
io.questdb.cairo.map.CompactMapCursor,(Object)Adapter,64,111
io.questdb.cairo.map.CompactMapCursor,Factory Method,64,111
io.questdb.cairo.map.CompactMapCursor,Decorator,64,111
io.questdb.griffin.engine.analytic.CachedAnalyticRecordCursorFactory,(Object)Adapter,144,151
io.questdb.griffin.engine.analytic.CachedAnalyticRecordCursorFactory,Factory Method,144,151
io.questdb.griffin.engine.analytic.CachedAnalyticRecordCursorFactory,State,144,151
io.questdb.griffin.engine.analytic.CachedAnalyticRecordCursorFactory,Decorator,144,151
io.questdb.griffin.engine.analytic.CachedAnalyticRecordCursorFactory,Proxy,144,151
io.questdb.griffin.engine.table.ShowColumnsRecordCursorFactory,(Object)Adapter,45,103
io.questdb.griffin.engine.table.ShowColumnsRecordCursorFactory,Factory Method,45,103
io.questdb.griffin.engine.table.ShowColumnsRecordCursorFactory,Decorator,45,103
io.questdb.griffin.engine.functions.catalogue.PgDatabaseFunctionFactory,Factory Method,34,110
io.questdb.griffin.engine.functions.catalogue.PgDatabaseFunctionFactory,Decorator,34,110
io.questdb.griffin.engine.ExplainPlanFactory,State,61,120
io.questdb.griffin.engine.ExplainPlanFactory,Factory Method,61,120
io.questdb.griffin.engine.ExplainPlanFactory,Decorator,61,120
io.questdb.griffin.engine.functions.catalogue.WalTableListFunctionFactory,(Object)Adapter,89,124
io.questdb.griffin.engine.functions.catalogue.WalTableListFunctionFactory,Factory Method,89,124
io.questdb.griffin.engine.functions.catalogue.WalTableListFunctionFactory,Decorator,89,124
io.questdb.griffin.engine.groupby.vect.GroupByRecordCursorFactory,(Object)Adapter,315,221
io.questdb.griffin.engine.groupby.vect.GroupByRecordCursorFactory,Factory Method,315,221
io.questdb.griffin.engine.groupby.vect.GroupByRecordCursorFactory,State,315,221
io.questdb.griffin.engine.groupby.vect.GroupByRecordCursorFactory,Decorator,315,221
io.questdb.griffin.engine.groupby.vect.GroupByRecordCursorFactory,Proxy,315,221
io.questdb.cairo.wal.WalDataCursor,(Object)Adapter,48,157
io.questdb.cairo.wal.WalDataCursor,Factory Method,48,157
io.questdb.cairo.wal.WalDataCursor,Decorator,48,157
io.questdb.griffin.engine.EmptyTableRandomRecordCursor,Factory Method,45,120
io.questdb.griffin.engine.EmptyTableRandomRecordCursor,Decorator,45,120
io.questdb.griffin.engine.EmptyTableRandomRecordCursor,Singleton,45,120
io.questdb.griffin.engine.groupby.DistinctSymbolRecordCursorFactory,(Object)Adapter,91,157
io.questdb.griffin.engine.groupby.DistinctSymbolRecordCursorFactory,Factory Method,91,157
io.questdb.griffin.engine.groupby.DistinctSymbolRecordCursorFactory,Decorator,91,157
io.questdb.griffin.engine.SingleValueRecordCursor,Factory Method,28,98
io.questdb.griffin.engine.SingleValueRecordCursor,Decorator,28,98
io.questdb.griffin.engine.table.SelectedRecordCursor,Factory Method,56,121
io.questdb.griffin.engine.table.SelectedRecordCursor,Decorator,56,121
io.questdb.griffin.engine.table.AsyncFilteredRecordCursor,State,340,193
io.questdb.griffin.engine.table.AsyncFilteredRecordCursor,(Object)Adapter,340,193
io.questdb.griffin.engine.table.AsyncFilteredRecordCursor,Factory Method,340,193
io.questdb.griffin.engine.table.AsyncFilteredRecordCursor,Decorator,340,193
io.questdb.cairo.sql.NoRandomAccessRecordCursor,Factory Method,0,24
io.questdb.cairo.sql.NoRandomAccessRecordCursor,Decorator,0,24
io.questdb.griffin.engine.groupby.DistinctRecordCursorFactory,State,123,193
io.questdb.griffin.engine.groupby.DistinctRecordCursorFactory,(Object)Adapter,123,193
io.questdb.griffin.engine.groupby.DistinctRecordCursorFactory,Factory Method,123,193
io.questdb.griffin.engine.groupby.DistinctRecordCursorFactory,Decorator,123,193
io.questdb.griffin.engine.functions.rnd.LongSequenceFunctionFactory,(Object)Adapter,49,111
io.questdb.griffin.engine.functions.rnd.LongSequenceFunctionFactory,Factory Method,49,111
io.questdb.griffin.engine.functions.rnd.LongSequenceFunctionFactory,Decorator,49,111
io.questdb.cairo.RecordChain,(Object)Adapter,230,651
io.questdb.cairo.RecordChain,Factory Method,230,651
io.questdb.cairo.RecordChain,State,230,651
io.questdb.cairo.RecordChain,Decorator,230,651
io.questdb.cairo.RecordChain,Proxy,230,651
io.questdb.griffin.engine.orderby.RecordTreeChain,State,70,132
io.questdb.griffin.engine.orderby.RecordTreeChain,Factory Method,70,132
io.questdb.griffin.engine.orderby.RecordTreeChain,Decorator,70,132
io.questdb.griffin.engine.orderby.RecordTreeChain,Proxy,70,132
io.questdb.cairo.map.FastMapCursor,(Object)Adapter,144,109
io.questdb.cairo.map.FastMapCursor,Factory Method,144,109
io.questdb.cairo.map.FastMapCursor,Decorator,144,109
io.questdb.cairo.TableReaderSelectedColumnRecordCursor,(Object)Adapter,176,172
io.questdb.cairo.TableReaderSelectedColumnRecordCursor,Factory Method,176,172
io.questdb.cairo.TableReaderSelectedColumnRecordCursor,Decorator,176,172
io.questdb.griffin.engine.AbstractVirtualFunctionRecordCursor,Factory Method,70,136
io.questdb.griffin.engine.AbstractVirtualFunctionRecordCursor,Decorator,70,136
io.questdb.griffin.engine.functions.catalogue.TableListFunctionFactory,(Object)Adapter,95,120
io.questdb.griffin.engine.functions.catalogue.TableListFunctionFactory,Factory Method,95,120
io.questdb.griffin.engine.functions.catalogue.TableListFunctionFactory,Decorator,95,120
io.questdb.cairo.sql.Record,(Object)Adapter,6,92
io.questdb.cairo.sql.Record,Factory Method,6,92
io.questdb.cairo.sql.Record,State,6,92
io.questdb.cairo.sql.AnalyticSPI,Factory Method,0,1
io.questdb.cairo.sql.SymbolTableSource,Factory Method,0,7
io.questdb.cairo.sql.SymbolTableSource,State,0,7
io.questdb.cairo.sql.PageFrameCursor,State,0,25
io.questdb.cairo.sql.PageFrameCursor,Factory Method,0,25
io.questdb.cairo.sql.PageFrameCursor,Decorator,0,25
io.questdb.cairo.sql.DataFrameCursor,(Object)Adapter,0,70
io.questdb.cairo.sql.DataFrameCursor,Factory Method,0,70
io.questdb.cairo.sql.DataFrameCursor,State,0,70
io.questdb.cairo.sql.DataFrameCursor,Bridge,0,70
io.questdb.cairo.TableReader,(Object)Adapter,444,526
io.questdb.cairo.TableReader,Factory Method,444,526
io.questdb.cairo.TableReader,State,444,526
io.questdb.cairo.sql.SymbolTable,Factory Method,6,6
io.questdb.cairo.sql.SymbolTable,Decorator,6,6
io.questdb.cairo.SymbolMapReader,Factory Method,0,4
io.questdb.cairo.EmptySymbolMapReader,Factory Method,4,40
io.questdb.cairo.EmptySymbolMapReader,Decorator,4,40
io.questdb.cairo.EmptySymbolMapReader,Singleton,4,40
io.questdb.cairo.SymbolMapReaderImpl,State,147,124
io.questdb.cairo.SymbolMapReaderImpl,(Object)Adapter,147,124
io.questdb.cairo.SymbolMapReaderImpl,Factory Method,147,124
io.questdb.cairo.SymbolMapReaderImpl,Decorator,147,124
io.questdb.cairo.sql.StaticSymbolTable,Factory Method,0,2
io.questdb.cairo.wal.MetadataService,Factory Method,0,16
io.questdb.cairo.TableWriter,(Object)Adapter,3525,2360
io.questdb.cairo.TableWriter,Factory Method,3525,2360
io.questdb.cairo.TableWriter,State,3525,2360
io.questdb.cairo.wal.seq.MetadataServiceStub,Factory Method,0,12
io.questdb.cairo.UpdateOperator,Factory Method,0,1
io.questdb.griffin.model.RuntimeIntrinsicIntervalModel,Factory Method,0,3
io.questdb.griffin.model.RuntimeIntrinsicIntervalModel,Bridge,0,3
io.questdb.griffin.model.RuntimeIntervalModel,(Object)Adapter,16,13
io.questdb.griffin.model.RuntimeIntervalModel,Factory Method,16,13
io.questdb.griffin.model.RuntimeIntervalModel,State,16,13
io.questdb.griffin.engine.table.AbstractDeferredValueRecordCursorFactory,(Object)Adapter,30,6
io.questdb.griffin.engine.table.AbstractDeferredValueRecordCursorFactory,Template Method,30,6
io.questdb.griffin.engine.table.AbstractDeferredValueRecordCursorFactory,Factory Method,30,6
io.questdb.griffin.engine.table.AbstractDeferredValueRecordCursorFactory,Bridge,30,6
io.questdb.griffin.engine.table.LatestByValueDeferredIndexedFilteredRecordCursorFactory,Template Method,0,4
io.questdb.griffin.engine.table.LatestByValueDeferredIndexedFilteredRecordCursorFactory,Factory Method,0,4
io.questdb.griffin.engine.table.LatestByValueDeferredFilteredRecordCursorFactory,Template Method,0,4
io.questdb.griffin.engine.table.LatestByValueDeferredFilteredRecordCursorFactory,Factory Method,0,4
io.questdb.griffin.engine.functions.cast.AbstractCastToSymbolFunction,Template Method,20,31
io.questdb.griffin.engine.functions.cast.AbstractCastToSymbolFunction,Factory Method,20,31
io.questdb.griffin.engine.functions.cast.AbstractCastToSymbolFunction,Decorator,20,31
io.questdb.griffin.engine.functions.cast.CastCharToSymbolFunctionFactory,Template Method,0,10
io.questdb.griffin.engine.functions.cast.CastCharToSymbolFunctionFactory,Factory Method,0,10
io.questdb.griffin.engine.functions.cast.CastCharToSymbolFunctionFactory,Decorator,0,10
io.questdb.griffin.engine.functions.cast.CastShortToSymbolFunctionFactory,Template Method,0,10
io.questdb.griffin.engine.functions.cast.CastShortToSymbolFunctionFactory,Factory Method,0,10
io.questdb.griffin.engine.functions.cast.CastShortToSymbolFunctionFactory,Decorator,0,10
io.questdb.griffin.engine.functions.cast.CastByteToSymbolFunctionFactory,Template Method,0,10
io.questdb.griffin.engine.functions.cast.CastByteToSymbolFunctionFactory,Factory Method,0,10
io.questdb.griffin.engine.functions.cast.CastByteToSymbolFunctionFactory,Decorator,0,10
io.questdb.griffin.engine.functions.cast.CastFloatToSymbolFunctionFactory,Template Method,0,10
io.questdb.griffin.engine.functions.cast.CastFloatToSymbolFunctionFactory,Factory Method,0,10
io.questdb.griffin.engine.functions.cast.CastFloatToSymbolFunctionFactory,Decorator,0,10
io.questdb.griffin.engine.functions.cast.CastIntToSymbolFunctionFactory,Template Method,0,10
io.questdb.griffin.engine.functions.cast.CastIntToSymbolFunctionFactory,Factory Method,0,10
io.questdb.griffin.engine.functions.cast.CastIntToSymbolFunctionFactory,Decorator,0,10
io.questdb.griffin.FunctionFactory,State,0,27
io.questdb.griffin.FunctionFactory,Factory Method,0,27
io.questdb.griffin.FunctionFactory,Decorator,0,27
io.questdb.griffin.engine.functions.regex.AbstractLikeStrFunctionFactory,State,5,11
io.questdb.griffin.engine.functions.regex.AbstractLikeStrFunctionFactory,Template Method,5,11
io.questdb.griffin.engine.functions.regex.AbstractLikeStrFunctionFactory,Factory Method,5,11
io.questdb.griffin.engine.functions.regex.AbstractLikeStrFunctionFactory,Decorator,5,11
io.questdb.griffin.engine.functions.cast.CastFloatToIntFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastFloatToIntFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.catalogue.PgTypeFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.catalogue.PgTypeFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.cast.CastStrToStrArrayFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastStrToStrArrayFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.cast.CastLongToSymbolFunctionFactory,State,10,24
io.questdb.griffin.engine.functions.cast.CastLongToSymbolFunctionFactory,Factory Method,10,24
io.questdb.griffin.engine.functions.cast.CastLongToSymbolFunctionFactory,Decorator,10,24
io.questdb.griffin.engine.functions.groupby.LastTimestampGroupByFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.groupby.LastTimestampGroupByFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.cast.CastDoubleToTimestampFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastDoubleToTimestampFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.cast.CastCharToLong256FunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastCharToLong256FunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.catalogue.SimulateCrashFunctionFactory,Factory Method,15,6
io.questdb.griffin.engine.functions.catalogue.SimulateCrashFunctionFactory,Decorator,15,6
io.questdb.griffin.engine.functions.groupby.LastShortGroupByFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.groupby.LastShortGroupByFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.cast.CastIntToFloatFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastIntToFloatFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastIntToFloatFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.groupby.SumFloatGroupByFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.groupby.SumFloatGroupByFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.cast.CastShortToDoubleFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastShortToDoubleFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastShortToDoubleFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.eq.EqLongFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.eq.EqLongFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.cast.CastDoubleToFloatFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastDoubleToFloatFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastDoubleToFloatFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.str.SplitPartFunctionFactory,Template Method,13,21
io.questdb.griffin.engine.functions.str.SplitPartFunctionFactory,Factory Method,13,21
io.questdb.griffin.engine.functions.str.SplitPartFunctionFactory,Decorator,13,21
io.questdb.griffin.engine.functions.str.SplitPartFunctionFactory,Bridge,13,21
io.questdb.griffin.engine.functions.date.TimestampFloorFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.date.TimestampFloorFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.cast.CastDateToTimestampFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastDateToTimestampFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.eq.EqStrUuidFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.eq.EqStrUuidFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.cast.CastSymbolToDoubleFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastSymbolToDoubleFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastSymbolToDoubleFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.cast.CastShortToFloatFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastShortToFloatFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastShortToFloatFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.date.TimestampSequenceFunctionFactory,State,6,18
io.questdb.griffin.engine.functions.date.TimestampSequenceFunctionFactory,Factory Method,6,18
io.questdb.griffin.engine.functions.date.TimestampSequenceFunctionFactory,Decorator,6,18
io.questdb.griffin.engine.functions.cast.CastSymbolToStrFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastSymbolToStrFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.math.BitwiseXorLongFunctionFactory,State,2,9
io.questdb.griffin.engine.functions.math.BitwiseXorLongFunctionFactory,Factory Method,2,9
io.questdb.griffin.engine.functions.math.BitwiseXorLongFunctionFactory,Decorator,2,9
io.questdb.griffin.engine.functions.catalogue.CurrentSchemasFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.catalogue.CurrentSchemasFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.math.NegShortFunctionFactory,State,1,8
io.questdb.griffin.engine.functions.math.NegShortFunctionFactory,Factory Method,1,8
io.questdb.griffin.engine.functions.math.NegShortFunctionFactory,Decorator,1,8
io.questdb.griffin.engine.functions.date.TimestampShuffleFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.date.TimestampShuffleFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.rnd.RndStrFunctionFactory,(Object)Adapter,3,9
io.questdb.griffin.engine.functions.rnd.RndStrFunctionFactory,Factory Method,3,9
io.questdb.griffin.engine.functions.rnd.RndStrFunctionFactory,Decorator,3,9
io.questdb.griffin.engine.functions.cast.CastDateToIntFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastDateToIntFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.eq.EqUuidStrFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.eq.EqUuidStrFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.cast.CastShortToDateFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastShortToDateFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastShortToDateFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.cast.CastDoubleToDateFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastDoubleToDateFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastDoubleToDateFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.date.SysdateFunctionFactory,State,5,10
io.questdb.griffin.engine.functions.date.SysdateFunctionFactory,(Object)Adapter,5,10
io.questdb.griffin.engine.functions.date.SysdateFunctionFactory,Factory Method,5,10
io.questdb.griffin.engine.functions.date.SysdateFunctionFactory,Decorator,5,10
io.questdb.griffin.engine.functions.date.TimestampCeilFunctionFactory,Template Method,4,18
io.questdb.griffin.engine.functions.date.TimestampCeilFunctionFactory,Factory Method,4,18
io.questdb.griffin.engine.functions.date.TimestampCeilFunctionFactory,Decorator,4,18
io.questdb.griffin.engine.functions.date.TimestampCeilFunctionFactory,Bridge,4,18
io.questdb.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.groupby.AvgDoubleGroupByFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.math.FloorFloatFunctionFactory,State,1,8
io.questdb.griffin.engine.functions.math.FloorFloatFunctionFactory,Factory Method,1,8
io.questdb.griffin.engine.functions.math.FloorFloatFunctionFactory,Decorator,1,8
io.questdb.griffin.engine.functions.rnd.RndStringRndListFunctionFactory,(Object)Adapter,8,12
io.questdb.griffin.engine.functions.rnd.RndStringRndListFunctionFactory,Factory Method,8,12
io.questdb.griffin.engine.functions.rnd.RndStringRndListFunctionFactory,Decorator,8,12
io.questdb.griffin.engine.functions.cast.CastShortToByteFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastShortToByteFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastShortToByteFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.cast.CastCharToStrFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.cast.CastCharToStrFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.rnd.RndDateCCCFunctionFactory,(Object)Adapter,4,9
io.questdb.griffin.engine.functions.rnd.RndDateCCCFunctionFactory,Factory Method,4,9
io.questdb.griffin.engine.functions.rnd.RndDateCCCFunctionFactory,Decorator,4,9
io.questdb.griffin.engine.functions.groupby.SumLongGroupByFunctionFactory,Factory Method,0,9
io.questdb.griffin.engine.functions.groupby.SumLongGroupByFunctionFactory,Decorator,0,9
io.questdb.griffin.engine.functions.cast.CastByteToStrFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastByteToStrFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.catalogue.CurrentDatabaseFunctionFactory,Factory Method,3,9
io.questdb.griffin.engine.functions.catalogue.CurrentDatabaseFunctionFactory,Decorator,3,9
io.questdb.griffin.engine.functions.cast.CastLongToShortFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastLongToShortFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastLongToShortFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.bool.AndFunctionFactory,State,2,9
io.questdb.griffin.engine.functions.bool.AndFunctionFactory,Factory Method,2,9
io.questdb.griffin.engine.functions.bool.AndFunctionFactory,Decorator,2,9
io.questdb.griffin.engine.functions.math.SubDoubleFunctionFactory,State,2,9
io.questdb.griffin.engine.functions.math.SubDoubleFunctionFactory,Factory Method,2,9
io.questdb.griffin.engine.functions.math.SubDoubleFunctionFactory,Decorator,2,9
io.questdb.griffin.engine.functions.cast.CastShortToIntFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastShortToIntFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.math.MulIntFunctionFactory,State,2,10
io.questdb.griffin.engine.functions.math.MulIntFunctionFactory,Factory Method,2,10
io.questdb.griffin.engine.functions.math.MulIntFunctionFactory,Decorator,2,10
io.questdb.griffin.engine.functions.str.LengthSymbolFunctionFactory,State,1,8
io.questdb.griffin.engine.functions.str.LengthSymbolFunctionFactory,Factory Method,1,8
io.questdb.griffin.engine.functions.str.LengthSymbolFunctionFactory,Decorator,1,8
io.questdb.griffin.engine.functions.cast.CastSymbolToByteFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastSymbolToByteFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastSymbolToByteFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.cast.CastCharToDateFunctionFactory,State,1,7
io.questdb.griffin.engine.functions.cast.CastCharToDateFunctionFactory,Factory Method,1,7
io.questdb.griffin.engine.functions.cast.CastCharToDateFunctionFactory,Decorator,1,7
io.questdb.griffin.engine.functions.date.ToUTCTimestampFunctionFactory,State,2,9
io.questdb.griffin.engine.functions.date.ToUTCTimestampFunctionFactory,Factory Method,2,9
io.questdb.griffin.engine.functions.date.ToUTCTimestampFunctionFactory,Decorator,2,9
io.questdb.griffin.engine.functions.cast.CastCharToTimestampFunctionFactory,Factory Method,0,6
io.questdb.griffin.engine.functions.cast.CastCharToTimestampFunctionFactory,Decorator,0,6
io.questdb.griffin.engine.functions.date.MinuteOfHourFunctionFactory,State,1,8
